ticket_id,customer_id,ticket_date,issue_category,priority,resolution_hours,ticket_status,customer_satisfaction
T00204,C00204,2025-04-25,Technical,Urgent,35.7,Escalated,2
T00205,C00205,2025-05-31,Billing,High,17.9,Resolved,3
T00206,C00206,2025-06-13,Storage,Medium,11.6,Resolved,4
T00207,C00207,2025-07-07,Performance,High,23.5,Resolved,3
T00208,C00208,2025-01-26,Feature Request,Low,6.8,Closed,5
T00209,C00209,2025-02-15,Account,Low,4.1,Closed,5
T00210,C00210,2025-03-30,Technical,High,20.4,Resolved,3
T00211,C00211,2025-04-13,Billing,Medium,9.6,Resolved,4
T00212,C00212,2025-05-17,Performance,High,22.7,Resolved,3
T00213,C00213,2025-06-04,Storage,Low,5.5,Closed,5
T00214,C00214,2025-07-18,Security,High,18.3,Resolved,3
T00215,C00215,2025-01-09,Technical,Medium,13.4,Resolved,4
T00216,C00216,2025-02-25,Billing,Urgent,31.9,Escalated,2
T00217,C00217,2025-03-14,Account,Low,3.7,Closed,5
T00218,C00218,2025-04-30,Performance,Medium,14.8,Resolved,4
T00219,C00219,2025-05-12,Feature Request,Low,7.3,Closed,5
T00220,C00220,2025-06-22,Storage,High,17.6,Resolved,3
T00221,C00221,2025-07-03,Technical,High,21.4,Resolved,3
T00222,C00222,2025-01-17,Billing,Medium,10.8,Resolved,4
T00223,C00223,2025-02-08,Performance,High,24.9,Resolved,3
T00224,C00224,2025-03-27,Account,Low,4.5,Closed,5
T00225,C00225,2025-04-05,Security,Urgent,33.8,Escalated,2
T00226,C00226,2025-05-26,Storage,Medium,12.4,Resolved,4
T00227,C00227,2025-06-08,Technical,High,19.8,Resolved,3
T00228,C00228,2025-07-16,Billing,Low,4.3,Closed,5
T00229,C00229,2025-01-31,Performance,Medium,13.6,Resolved,4
T00230,C00230,2025-02-18,Feature Request,Low,6.2,Closed,5
T00231,C00231,2025-03-21,Account,High,18.5,Resolved,3
T00232,C00232,2025-04-11,Technical,Medium,11.7,Resolved,4
T00233,C00233,2025-05-07,Billing,High,20.1,Resolved,3
T00234,C00234,2025-06-16,Performance,Urgent,30.5,Escalated,2
T00235,C00235,2025-07-28,Storage,Low,5.1,Closed,5
T00236,C00236,2025-01-24,Security,High,17.3,Resolved,3
T00237,C00237,2025-02-10,Technical,Medium,12.9,Resolved,4
T00238,C00238,2025-03-25,Billing,Low,4.7,Closed,5
T00239,C00239,2025-04-18,Performance,High,23.6,Resolved,3
T00240,C00240,2025-05-29,Account,Medium,9.4,Resolved,4
T00241,C00241,2025-06-11,Storage,High,16.8,Resolved,3
T00242,C00242,2025-07-05,Technical,Urgent,32.1,Escalated,2
T00243,C00243,2025-01-16,Billing,Medium,10.2,Resolved,4
T00244,C00244,2025-02-22,Performance,High,21.7,Resolved,3
T00245,C00245,2025-03-09,Feature Request,Low,6.5,Closed,5
T00246,C00246,2025-04-24,Security,High,19.3,Resolved,3
T00247,C00247,2025-05-18,Account,Low,4.0,Closed,5
T00248,C00248,2025-06-27,Technical,Medium,13.5,Resolved,4
T00249,C00249,2025-07-13,Billing,High,18.7,Resolved,3
T00250,C00250,2025-01-28,Storage,Low,5.6,Closed,5
T00251,C00251,2025-02-14,Performance,Medium,15.3,Resolved,4
T00252,C00252,2025-03-29,Technical,High,22.9,Resolved,3
T00253,C00253,2025-04-16,Billing,Urgent,34.6,Escalated,2
T00254,C00254,2025-05-08,Account,Low,3.9,Closed,5
T00255,C00255,2025-06-20,Security,High,18.1,Resolved,3
T00256,C00256,2025-07-09,Storage,Medium,11.1,Resolved,4
T00257,C00257,2025-01-19,Technical,High,20.5,Resolved,3
T00258,C00258,2025-02-26,Feature Request,Low,7.0,Closed,5
T00259,C00259,2025-03-12,Performance,Medium,13.8,Resolved,4
T00260,C00260,2025-04-28,Account,High,17.7,Resolved,3
T00261,C00261,2025-05-15,Billing,Low,4.5,Closed,5
T00262,C00262,2025-06-05,Technical,Medium,12.6,Resolved,4
T00263,C00263,2025-07-21,Performance,High,24.3,Resolved,3
T00264,C00264,2025-01-30,Storage,Urgent,30.8,Escalated,2
T00265,C00265,2025-02-17,Security,High,19.6,Resolved,3
T00266,C00266,2025-03-05,Account,Low,4.2,Closed,5
T00267,C00267,2025-04-20,Technical,Medium,10.7,Resolved,4
T00268,C00268,2025-05-23,Billing,High,18.9,Resolved,3
T00269,C00269,2025-06-14,Feature Request,Low,6.4,Closed,5
T00270,C00270,2025-07-25,Performance,Medium,14.7,Resolved,4
T00271,C00271,2025-01-12,Storage,High,16.3,Resolved,3
T00272,C00272,2025-02-28,Technical,Urgent,33.4,Escalated,2
T00273,C00273,2025-03-18,Billing,Medium,9.3,Resolved,4
T00274,C00274,2025-04-07,Account,Low,4.6,Closed,5
T00275,C00275,2025-05-30,Security,High,21.1,Resolved,3
T00276,C00276,2025-06-18,Performance,High,23.2,Resolved,3
T00277,C00277,2025-07-11,Technical,Medium,12.5,Resolved,4
T00278,C00278,2025-01-25,Storage,Low,5.3,Closed,5
T00279,C00279,2025-02-09,Billing,High,17.5,Resolved,3
T00280,C00280,2025-03-23,Feature Request,Low,6.9,Closed,5
T00281,C00281,2025-04-14,Account,Medium,10.4,Resolved,4
T00282,C00282,2025-05-06,Technical,High,22.0,Resolved,3
T00283,C00283,2025-06-29,Performance,Urgent,31.3,Escalated,2
T00284,C00284,2025-07-17,Security,Medium,14.2,Resolved,4
T00285,C00285,2025-01-21,Billing,Low,4.1,Closed,5
T00286,C00286,2025-02-13,Storage,High,18.4,Resolved,3
T00287,C00287,2025-03-31,Technical,Medium,13.1,Resolved,4
T00288,C00288,2025-04-22,Performance,High,25.1,Resolved,3
T00289,C00289,2025-05-19,Account,Low,3.8,Closed,5
T00290,C00290,2025-06-09,Billing,High,19.2,Resolved,3
T00291,C00291,2025-07-27,Feature Request,Low,6.1,Closed,5
T00292,C00292,2025-01-15,Security,Urgent,35.1,Escalated,2
T00293,C00293,2025-02-24,Technical,High,20.3,Resolved,3
T00294,C00294,2025-03-07,Storage,Medium,11.5,Resolved,4
T00295,C00295,2025-04-17,Billing,Low,4.8,Closed,5
T00296,C00296,2025-05-28,Performance,High,22.6,Resolved,3
T00297,C00297,2025-06-12,Account,Medium,9.9,Resolved,4
T00298,C00298,2025-07-03,Technical,High,18.6,Resolved,3
T00299,C00299,2025-01-27,Feature Request,Low,7.5,Closed,5
T00300,C00300,2025-02-20,Billing,Medium,10.6,Resolved,4
T00301,C00301,2025-03-16,Performance,High,23.9,Resolved,3
T00302,C00302,2025-04-29,Storage,Low,5.2,Closed,5
T00303,C00303,2025-05-13,Technical,Urgent,32.7,Escalated,2
T00304,C00304,2025-06-25,Account,Medium,11.8,Resolved,4
T00305,C00305,2025-07-19,Billing,High,17.4,Resolved,3
T00306,C00306,2025-01-08,Security,High,19.1,Resolved,3
T00307,C00307,2025-02-16,Performance,Medium,14.4,Resolved,4
T00308,C00308,2025-03-26,Feature Request,Low,6.7,Closed,5
T00309,C00309,2025-04-10,Storage,High,16.9,Resolved,3
T00310,C00310,2025-05-22,Account,Low,4.3,Closed,5
T00311,C00311,2025-06-07,Technical,Medium,13.6,Resolved,4
T00312,C00312,2025-07-15,Billing,High,20.8,Resolved,3
T00313,C00313,2025-01-23,Performance,Urgent,29.9,Escalated,2
T00314,C00314,2025-02-05,Storage,Low,5.5,Closed,5
T00315,C00315,2025-03-20,Technical,High,21.5,Resolved,3
T00316,C00316,2025-04-26,Account,Medium,9.7,Resolved,4
T00317,C00317,2025-05-11,Billing,Low,4.6,Closed,5
T00318,C00318,2025-06-19,Security,High,18.9,Resolved,3
T00319,C00319,2025-07-08,Performance,Medium,12.8,Resolved,4
T00320,C00320,2025-01-29,Feature Request,Low,6.2,Closed,5
T00321,C00321,2025-02-12,Technical,High,22.2,Resolved,3
T00322,C00322,2025-03-09,Billing,Urgent,31.5,Escalated,2
T00323,C00323,2025-04-18,Storage,Medium,10.9,Resolved,4
T00324,C00324,2025-05-07,Account,Low,4.0,Closed,5
T00325,C00325,2025-06-21,Performance,High,24.7,Resolved,3
T00326,C00326,2025-07-26,Technical,Medium,13.3,Resolved,4
T00327,C00327,2025-01-17,Security,High,20.0,Resolved,3
T00328,C00328,2025-02-23,Billing,Low,4.7,Closed,5
T00329,C00329,2025-03-14,Feature Request,Low,6.8,Closed,5
T00330,C00330,2025-04-05,Storage,High,17.8,Resolved,3
T00331,C00331,2025-05-25,Account,Medium,10.2,Resolved,4
T00332,C00332,2025-06-15,Technical,Urgent,34.2,Escalated,2
T00333,C00333,2025-07-12,Billing,High,18.5,Resolved,3
T00334,C00334,2025-01-31,Performance,Medium,14.1,Resolved,4
T00335,C00335,2025-02-07,Storage,Low,5.0,Closed,5
T00336,C00336,2025-03-28,Security,High,19.7,Resolved,3
T00337,C00337,2025-04-16,Technical,Medium,12.4,Resolved,4
T00338,C00338,2025-05-09,Account,Low,3.9,Closed,5
T00339,C00339,2025-06-27,Performance,High,23.3,Resolved,3
T00340,C00340,2025-07-20,Billing,Medium,10.5,Resolved,4
T00341,C00341,2025-01-14,Technical,High,21.0,Resolved,3
T00342,C00342,2025-02-26,Feature Request,Low,7.1,Closed,5
T00343,C00343,2025-03-19,Storage,Medium,11.7,Resolved,4
T00344,C00344,2025-04-24,Account,High,18.2,Resolved,3
T00345,C00345,2025-05-16,Billing,Urgent,30.4,Escalated,2
T00346,C00346,2025-06-05,Performance,High,22.5,Resolved,3
T00347,C00347,2025-07-04,Security,Medium,14.8,Resolved,4
T00348,C00348,2025-01-22,Technical,Low,4.4,Closed,5
T00349,C00349,2025-02-18,Storage,High,16.1,Resolved,3
T00350,C00350,2025-03-30,Account,Medium,9.2,Resolved,4
T00351,C00351,2025-04-12,Billing,High,19.5,Resolved,3
T00352,C00352,2025-05-29,Performance,Low,5.7,Closed,5
T00353,C00353,2025-06-13,Technical,Medium,13.9,Resolved,4
T00354,C00354,2025-07-24,Security,High,20.7,Resolved,3
T00355,C00355,2025-01-11,Feature Request,Low,6.4,Closed,5
T00356,C00356,2025-02-21,Billing,Medium,10.8,Resolved,4
T00357,C00357,2025-03-06,Storage,High,17.2,Resolved,3
T00358,C00358,2025-04-20,Account,Urgent,33.5,Escalated,2
T00359,C00359,2025-05-08,Performance,Medium,14.6,Resolved,4
T00360,C00360,2025-06-23,Technical,High,22.1,Resolved,3
T00361,C00361,2025-07-10,Billing,Low,4.5,Closed,5
T00362,C00362,2025-01-25,Security,High,18.8,Resolved,3
T00363,C00363,2025-02-09,Storage,Medium,11.2,Resolved,4
T00364,C00364,2025-03-17,Feature Request,Low,6.6,Closed,5
T00365,C00365,2025-04-28,Technical,Urgent,31.1,Escalated,2
T00366,C00366,2025-05-19,Account,Low,4.1,Closed,5
T00367,C00367,2025-06-08,Billing,High,17.6,Resolved,3
T00368,C00368,2025-07-17,Performance,Medium,13.7,Resolved,4
T00369,C00369,2025-01-18,Storage,Low,5.4,Closed,5
T00370,C00370,2025-02-28,Technical,High,21.8,Resolved,3
T00371,C00371,2025-03-11,Account,Medium,10.1,Resolved,4
T00372,C00372,2025-04-07,Billing,High,19.0,Resolved,3
T00373,C00373,2025-05-26,Security,High,20.4,Resolved,3
T00374,C00374,2025-06-17,Performance,Urgent,30.9,Escalated,2
T00375,C00375,2025-07-02,Feature Request,Low,6.9,Closed,5
T00376,C00376,2025-01-30,Storage,Medium,12.0,Resolved,4
T00377,C00377,2025-02-14,Technical,High,18.6,Resolved,3
T00378,C00378,2025-03-24,Billing,Low,4.8,Closed,5
T00379,C00379,2025-04-15,Account,High,17.9,Resolved,3
T00380,C00380,2025-05-31,Performance,Medium,14.3,Resolved,4
T00381,C00381,2025-06-10,Security,High,19.8,Resolved,3
T00382,C00382,2025-07-28,Technical,Urgent,34.8,Escalated,2
T00383,C00383,2025-01-20,Storage,Low,5.6,Closed,5
T00384,C00384,2025-02-06,Billing,Medium,10.4,Resolved,4
T00385,C00385,2025-03-15,Performance,High,23.1,Resolved,3
T00386,C00386,2025-04-30,Account,Low,4.2,Closed,5
T00387,C00387,2025-05-14,Feature Request,Low,7.4,Closed,5
T00388,C00388,2025-06-25,Technical,High,20.9,Resolved,3
T00389,C00389,2025-07-07,Security,Medium,13.5,Resolved,4
T00390,C00390,2025-01-16,Billing,High,18.0,Resolved,3
T00391,C00391,2025-02-24,Storage,Urgent,32.6,Escalated,2
T00392,C00392,2025-03-08,Performance,Medium,12.9,Resolved,4
T00393,C00393,2025-04-19,Account,High,17.1,Resolved,3
T00394,C00394,2025-05-05,Technical,Low,4.6,Closed,5
T00395,C00395,2025-06-14,Billing,Medium,11.0,Resolved,4
T00396,C00396,2025-07-21,Security,High,21.5,Resolved,3
T00397,C00397,2025-01-27,Feature Request,Low,6.3,Closed,5
T00398,C00398,2025-02-11,Storage,High,16.7,Resolved,3
T00399,C00399,2025-03-29,Technical,Medium,13.2,Resolved,4
T00400,C00400,2025-04-22,Performance,Urgent,29.5,Escalated,2
T00401,C00401,2025-05-18,Account,Low,3.9,Closed,5
T00402,C00402,2025-06-06,Billing,High,18.7,Resolved,3
T00403,C00403,2025-07-16,Storage,Medium,10.6,Resolved,4
T00404,C00404,2025-01-13,Technical,High,22.4,Resolved,3
T00405,C00405,2025-02-27,Feature Request,Low,7.0,Closed,5
T00406,C00406,2025-03-21,Performance,Medium,14.9,Resolved,4
T00407,C00407,2025-04-11,Account,High,18.9,Resolved,3
T00408,C00408,2025-05-30,Billing,Low,4.4,Closed,5
T00409,C00409,2025-06-19,Security,High,20.1,Resolved,3
T00410,C00410,2025-07-09,Technical,Urgent,33.2,Escalated,2
T00411,C00411,2025-01-24,Storage,Medium,11.5,Resolved,4
T00412,C00412,2025-02-16,Performance,High,24.0,Resolved,3
T00413,C00413,2025-03-05,Account,Low,4.0,Closed,5
T00414,C00414,2025-04-27,Billing,High,17.8,Resolved,3
T00415,C00415,2025-05-12,Technical,Medium,12.3,Resolved,4
T00416,C00416,2025-06-28,Feature Request,Low,6.5,Closed,5
T00417,C00417,2025-07-18,Security,High,19.6,Resolved,3
T00418,C00418,2025-01-09,Storage,Urgent,31.7,Escalated,2
T00419,C00419,2025-02-20,Performance,Medium,14.0,Resolved,4
T00420,C00420,2025-03-13,Technical,High,21.2,Resolved,3
T00421,C00421,2025-04-05,Billing,Low,4.7,Closed,5
T00422,C00422,2025-05-25,Account,Medium,10.9,Resolved,4
T00423,C00423,2025-06-11,Storage,High,16.5,Resolved,3
T00424,C00424,2025-07-04,Performance,High,22.8,Resolved,3
T00425,C00425,2025-01-29,Feature Request,Low,6.1,Closed,5
T00426,C00426,2025-02-08,Security,Medium,13.6,Resolved,4
T00427,C00427,2025-03-26,Technical,Urgent,35.0,Escalated,2
T00428,C00428,2025-04-16,Billing,High,18.2,Resolved,3
