usage_id,customer_id,usage_date,login_count,session_minutes,files_uploaded,files_downloaded,storage_used_gb,feature_usage_count
U00182,C00182,S00182,2026-08-19,27,650,21,40,141.8,24
U00183,C00183,S00183,2026-08-19,8,150,4,9,24.7,6
U00184,C00184,S00184,2026-08-19,33,805,28,54,312.5,31
U00185,C00185,S00185,2026-08-19,3,58,1,3,9.8,2
U00186,C00186,S00186,2026-08-19,24,525,16,31,90.6,20
U00187,C00187,S00187,2026-08-19,30,715,24,46,227.3,28
U00188,C00188,S00188,2026-08-19,40,980,38,75,663.7,41
U00189,C00189,S00189,2026-08-19,6,120,2,7,17.5,5
U00190,C00190,S00190,2026-08-19,17,335,10,20,55.1,14
U00191,C00191,S00191,2026-08-20,21,445,14,27,78.4,18
U00192,C00192,S00192,2026-08-20,29,690,23,43,162.5,26
U00193,C00193,S00193,2026-08-20,10,205,6,15,44.7,9
U00194,C00194,S00194,2026-08-20,35,855,31,60,351.6,34
U00195,C00195,S00195,2026-08-20,5,92,2,6,17.2,4
U00196,C00196,S00196,2026-08-20,25,580,18,35,114.3,22
U00197,C00197,S00197,2026-08-20,32,750,26,49,248.5,30
U00198,C00198,S00198,2026-08-20,43,1035,42,81,726.8,45
U00199,C00199,S00199,2026-08-20,7,145,3,9,23.6,5
U00200,C00200,S00200,2026-08-20,19,395,12,24,68.4,16
U00201,C00201,S00201,2026-08-21,22,465,15,28,82.1,19
U00202,C00202,S00202,2026-08-21,28,675,22,42,153.4,26
U00203,C00203,S00203,2026-08-21,9,180,5,13,39.8,8
U00204,C00204,S00204,2026-08-21,34,825,30,57,326.4,32
U00205,C00205,S00205,2026-08-21,4,66,1,4,10.9,3
U00206,C00206,S00206,2026-08-21,24,545,17,32,99.5,21
U00207,C00207,S00207,2026-08-21,31,735,25,48,241.7,29
U00208,C00208,S00208,2026-08-21,41,1000,40,77,672.5,43
U00209,C00209,S00209,2026-08-21,6,110,2,7,16.9,5
U00210,C00210,S00210,2026-08-21,18,365,11,22,60.3,15
U00211,C00211,S00211,2026-08-22,20,420,13,25,71.7,17
U00212,C00212,S00212,2026-08-22,27,640,21,39,136.9,24
U00213,C00213,S00213,2026-08-22,8,165,4,10,28.2,6
U00214,C00214,S00214,2026-08-22,33,810,28,53,298.7,31
U00215,C00215,S00215,2026-08-22,5,86,2,5,15.4,4
U00216,C00216,S00216,2026-08-22,23,510,16,30,91.8,20
U00217,C00217,S00217,2026-08-22,30,725,24,45,221.9,28
U00218,C00218,S00218,2026-08-22,39,965,38,74,651.2,41
U00219,C00219,S00219,2026-08-22,7,125,3,8,20.3,5
U00220,C00220,S00220,2026-08-22,17,340,10,20,54.5,14
U00221,C00221,S00221,2026-08-23,21,450,14,27,76.8,18
U00222,C00222,S00222,2026-08-23,29,700,23,43,165.7,27
U00223,C00223,S00223,2026-08-23,10,195,6,14,42.1,9
U00224,C00224,S00224,2026-08-23,35,870,31,61,365.2,34
U00225,C00225,S00225,2026-08-23,4,73,1,4,12.8,3
U00226,C00226,S00226,2026-08-23,25,565,18,34,110.6,22
U00227,C00227,S00227,2026-08-23,31,745,25,48,246.2,29
U00228,C00228,S00228,2026-08-23,42,1025,41,79,713.6,44
U00229,C00229,S00229,2026-08-23,6,118,2,7,18.4,5
U00230,C00230,S00230,2026-08-23,19,390,12,23,65.8,16
U00231,C00231,S00231,2026-08-24,22,475,15,29,85.3,19
U00232,C00232,S00232,2026-08-24,28,660,22,41,150.9,26
U00233,C00233,S00233,2026-08-24,9,172,5,12,37.5,8
U00234,C00234,S00234,2026-08-24,34,835,29,57,333.8,32
U00235,C00235,S00235,2026-08-24,3,61,1,3,9.4,2
U00236,C00236,S00236,2026-08-24,24,530,17,32,96.7,21
U00237,C00237,S00237,2026-08-24,30,710,24,46,229.5,28
U00238,C00238,S00238,2026-08-24,40,990,39,76,681.9,42
U00239,C00239,S00239,2026-08-24,7,132,3,8,21.1,5
U00240,C00240,S00240,2026-08-24,18,355,10,21,57.6,14
U00241,C00241,S00241,2026-08-25,20,410,13,25,70.2,17
U00242,C00242,S00242,2026-08-25,27,625,20,38,131.8,24
U00243,C00243,S00243,2026-08-25,8,155,4,9,26.9,6
U00244,C00244,S00244,2026-08-25,32,790,27,52,286.4,30
U00245,C00245,S00245,2026-08-25,5,89,2,6,16.1,4
U00246,C00246,S00246,2026-08-25,23,505,16,30,88.9,20
U00247,C00247,S00247,2026-08-25,29,700,23,44,214.6,27
U00248,C00248,S00248,2026-08-25,41,980,40,76,658.7,42
U00249,C00249,S00249,2026-08-25,6,115,2,7,17.6,5
U00250,C00250,S00250,2026-08-25,17,330,9,20,53.8,13
U00251,C00251,S00251,2026-08-26,21,435,14,26,74.9,18
U00252,C00252,S00252,2026-08-26,28,670,22,42,158.4,26
U00253,C00253,S00253,2026-08-26,10,215,7,15,46.2,9
U00254,C00254,S00254,2026-08-26,34,820,30,57,319.8,32
U00255,C00255,S00255,2026-08-26,4,69,1,4,11.2,3
U00256,C00256,S00256,2026-08-26,25,555,18,33,104.7,22
U00257,C00257,S00257,2026-08-26,31,730,25,47,237.8,29
U00258,C00258,S00258,2026-08-26,40,970,38,74,646.5,41
U00259,C00259,S00259,2026-08-26,7,140,3,8,22.8,5
U00260,C00260,S00260,2026-08-26,19,375,12,23,63.1,15
U00261,C00261,S00261,2026-08-27,22,460,15,29,80.7,19
U00262,C00262,S00262,2026-08-27,27,645,21,40,140.5,24
U00263,C00263,S00263,2026-08-27,9,175,5,12,35.9,8
U00264,C00264,S00264,2026-08-27,33,805,28,54,307.6,31
U00265,C00265,S00265,2026-08-27,5,84,2,5,15.1,4
U00266,C00266,S00266,2026-08-27,24,525,17,31,92.8,20
U00267,C00267,S00267,2026-08-27,30,715,24,46,226.4,28
U00268,C00268,S00268,2026-08-27,42,1015,41,80,709.7,44
U00269,C00269,S00269,2026-08-27,6,108,2,7,17.3,5
U00270,C00270,S00270,2026-08-27,18,345,10,21,56.8,14
U00271,C00271,S00271,2026-08-28,20,425,13,25,72.4,17
U00272,C00272,S00272,2026-08-28,29,690,23,42,160.6,26
U00273,C00273,S00273,2026-08-28,8,160,4,10,27.5,6
U00274,C00274,S00274,2026-08-28,35,850,30,58,342.7,33
U00275,C00275,S00275,2026-08-28,4,71,1,4,12.0,3
U00276,C00276,S00276,2026-08-28,23,515,16,31,94.8,20
U00277,C00277,S00277,2026-08-28,31,735,25,48,244.3,29
U00278,C00278,S00278,2026-08-28,39,950,38,75,635.8,41
U00279,C00279,S00279,2026-08-28,7,130,3,8,20.7,5
U00280,C00280,S00280,2026-08-28,17,335,10,20,55.4,14
U00281,C00281,S00281,2026-08-29,21,450,14,27,78.6,18
U00282,C00282,S00282,2026-08-29,28,665,22,41,152.7,26
U00283,C00283,S00283,2026-08-29,10,205,6,14,43.5,9
U00284,C00284,S00284,2026-08-29,34,830,29,57,330.5,32
U00285,C00285,S00285,2026-08-29,5,90,2,6,16.7,4
U00286,C00286,S00286,2026-08-29,25,575,18,34,113.2,22
U00287,C00287,S00287,2026-08-29,30,720,24,46,232.6,28
U00288,C00288,S00288,2026-08-29,41,995,40,78,671.4,43
U00289,C00289,S00289,2026-08-29,6,120,2,7,18.9,5
U00290,C00290,S00290,2026-08-29,19,385,12,23,66.2,16
U00291,C00291,S00291,2026-08-30,22,470,15,29,84.1,19
U00292,C00292,S00292,2026-08-30,27,650,21,40,139.4,24
U00293,C00293,S00293,2026-08-30,9,185,5,13,38.3,8
U00294,C00294,S00294,2026-08-30,33,815,28,53,304.9,31
U00295,C00295,S00295,2026-08-30,4,75,1,4,12.5,3
U00296,C00296,S00296,2026-08-30,24,545,17,32,100.8,21
U00297,C00297,S00297,2026-08-30,31,740,25,48,249.1,29
U00298,C00298,S00298,2026-08-30,40,980,39,76,687.3,42
U00299,C00299,S00299,2026-08-30,7,135,3,8,21.9,5
U00300,C00300,S00300,2026-08-30,18,355,10,21,59.5,14
U00301,C00301,S00301,2026-08-31,20,420,13,25,73.8,17
U00302,C00302,S00302,2026-08-31,28,680,22,42,161.3,26
U00303,C00303,S00303,2026-08-31,8,150,4,9,25.4,6
U00304,C00304,S00304,2026-08-31,35,845,31,59,355.6,34
U00305,C00305,S00305,2026-08-31,3,55,1,3,9.2,2
U00306,C00306,S00306,2026-08-31,23,510,16,31,90.4,20
U00307,C00307,S00307,2026-08-31,30,715,24,46,228.7,28
U00308,C00308,S00308,2026-08-31,42,1025,41,80,721.6,44
U00309,C00309,S00309,2026-08-31,6,112,2,7,17.1,5
U00310,C00310,S00310,2026-08-31,17,340,10,20,54.2,14
U00311,C00311,S00311,2026-09-01,21,440,14,27,76.3,18
U00312,C00312,S00312,2026-09-01,27,635,21,39,134.8,24
U00313,C00313,S00313,2026-09-01,9,170,5,12,34.7,8
U00314,C00314,S00314,2026-09-01,34,825,30,57,321.7,32
U00315,C00315,S00315,2026-09-01,5,86,2,5,15.8,4
U00316,C00316,S00316,2026-09-01,25,570,18,34,109.4,22
U00317,C00317,S00317,2026-09-01,31,750,25,48,243.8,29
U00318,C00318,S00318,2026-09-01,41,1005,40,79,697.2,43
U00319,C00319,S00319,2026-09-01,7,128,3,8,20.4,5
U00320,C00320,S00320,2026-09-01,19,380,12,23,64.5,15
U00321,C00321,S00321,2026-09-02,22,455,15,28,81.6,19
U00322,C00322,S00322,2026-09-02,29,690,23,43,164.1,27
U00323,C00323,S00323,2026-09-02,10,205,6,14,42.8,9
U00324,C00324,S00324,2026-09-02,33,805,28,53,300.8,31
U00325,C00325,S00325,2026-09-02,4,68,1,4,11.6,3
U00326,C00326,S00326,2026-09-02,24,530,17,32,97.1,21
U00327,C00327,S00327,2026-09-02,30,725,24,46,234.5,28
U00328,C00328,S00328,2026-09-02,40,990,39,76,682.7,42
U00329,C00329,S00329,2026-09-02,6,115,2,7,18.0,5
U00330,C00330,S00330,2026-09-02,18,350,10,21,58.3,14
U00331,C00331,S00331,2026-09-03,20,425,13,26,72.7,17
U00332,C00332,S00332,2026-09-03,28,670,22,41,155.9,26
U00333,C00333,S00333,2026-09-03,8,145,4,9,24.2,6
U00334,C00334,S00334,2026-09-03,35,855,31,60,349.8,34
U00335,C00335,S00335,2026-09-03,3,60,1,3,9.7,2
U00336,C00336,S00336,2026-09-03,23,505,16,30,88.6,20
U00337,C00337,S00337,2026-09-03,31,735,25,48,240.2,29
U00338,C00338,S00338,2026-09-03,42,1010,41,79,713.9,44
U00339,C00339,S00339,2026-09-03,7,130,3,8,21.2,5
U00340,C00340,S00340,2026-09-03,17,330,10,20,52.7,14
U00341,C00341,S00341,2026-09-04,21,445,14,27,79.5,18
U00342,C00342,S00342,2026-09-04,27,655,21,40,142.6,24
U00343,C00343,S00343,2026-09-04,9,175,5,12,36.5,8
U00344,C00344,S00344,2026-09-04,34,820,29,57,327.4,32
U00345,C00345,S00345,2026-09-04,5,90,2,6,16.4,4
U00346,C00346,S00346,2026-09-04,24,540,17,32,101.2,21
U00347,C00347,S00347,2026-09-04,30,705,24,45,218.6,28
U00348,C00348,S00348,2026-09-04,41,985,40,77,674.8,43
U00349,C00349,S00349,2026-09-04,6,118,2,7,17.8,5
U00350,C00350,S00350,2026-09-04,19,375,12,23,63.6,15
U00351,C00351,S00351,2026-09-05,22,465,15,29,83.9,19
U00352,C00352,S00352,2026-09-05,28,675,22,42,159.2,26
U00353,C00353,S00353,2026-09-05,10,200,6,14,41.2,9
U00354,C00354,S00354,2026-09-05,33,800,28,53,297.5,31
U00355,C00355,S00355,2026-09-05,4,70,1,4,12.4,3
U00356,C00356,S00356,2026-09-05,25,560,18,33,106.8,22
U00357,C00357,S00357,2026-09-05,31,745,25,48,245.9,29
U00358,C00358,S00358,2026-09-05,40,970,39,75,648.4,42
U00359,C00359,S00359,2026-09-05,7,125,3,8,19.9,5
U00360,C00360,S00360,2026-09-05,18,360,10,21,57.9,14
U00361,C00361,S00361,2026-09-06,20,415,13,25,71.9,17
U00362,C00362,S00362,2026-09-06,27,645,21,39,138.7,24
U00363,C00363,S00363,2026-09-06,8,160,4,10,27.1,6
U00364,C00364,S00364,2026-09-06,34,830,29,57,335.2,32
U00365,C00365,S00365,2026-09-06,5,82,2,5,14.9,4
U00366,C00366,S00366,2026-09-06,23,515,16,31,93.1,20
U00367,C00367,S00367,2026-09-06,30,720,24,46,230.4,28
U00368,C00368,S00368,2026-09-06,42,1020,41,80,719.5,44
U00369,C00369,S00369,2026-09-06,6,115,2,7,17.7,5
U00370,C00370,S00370,2026-09-06,17,345,10,20,55.7,14
U00371,C00371,S00371,2026-09-07,21,450,14,27,77.5,18
U00372,C00372,S00372,2026-09-07,28,665,22,42,156.8,26
U00373,C00373,S00373,2026-09-07,9,180,5,13,39.1,8
U00374,C00374,S00374,2026-09-07,35,845,30,59,348.6,33
U00375,C00375,S00375,2026-09-07,4,65,1,4,11.0,3
U00376,C00376,S00376,2026-09-07,24,535,17,32,98.4,21
U00377,C00377,S00377,2026-09-07,31,740,25,48,239.8,29
U00378,C00378,S00378,2026-09-07,40,985,39,76,660.1,42
U00379,C00379,S00379,2026-09-07,7,135,3,8,21.7,5
U00380,C00380,S00380,2026-09-07,18,355,10,21,58.8,14
U00381,C00381,S00381,2026-09-08,22,475,15,29,86.2,19
U00382,C00382,S00382,2026-09-08,27,650,21,40,143.9,24
U00383,C00383,S00383,2026-09-08,10,210,6,15,45.1,9
U00384,C00384,S00384,2026-09-08,33,810,28,54,305.6,31
U00385,C00385,S00385,2026-09-08,5,88,2,6,16.9,4
U00386,C00386,S00386,2026-09-08,25,570,18,34,112.5,22
U00387,C00387,S00387,2026-09-08,30,730,24,47,228.9,28
U00388,C00388,S00388,2026-09-08,41,1000,40,78,685.7,43
U00389,C00389,S00389,2026-09-08,6,120,2,7,18.5,5
U00390,C00390,S00390,2026-09-08,19,390,12,24,67.3,16
U00391,C00391,S00391,2026-09-09,20,430,13,26,75.4,17
U00392,C00392,S00392,2026-09-09,28,680,22,42,160.1,26
U00393,C00393,S00393,2026-09-09,8,150,4,9,25.7,6
U00394,C00394,S00394,2026-09-09,34,835,30,58,329.8,32
U00395,C00395,S00395,2026-09-09,3,58,1,3,9.5,2
U00396,C00396,S00396,2026-09-09,23,520,16,31,94.6,20
U00397,C00397,S00397,2026-09-09,31,745,25,48,247.2,29
U00398,C00398,S00398,2026-09-09,42,1025,41,80,728.4,44
U00399,C00399,S00399,2026-09-09,7,130,3,8,20.9,5
U00400,C00400,S00400,2026-09-09,18,365,11,22,61.7,15
U00401,C00401,S00401,2026-09-10,21,440,14,27,78.9,18
U00402,C00402,S00402,2026-09-10,27,635,21,40,141.3,24
U00403,C00403,S00403,2026-09-10,9,175,5,12,36.2,8
U00404,C00404,S00404,2026-09-10,35,850,31,60,354.7,34
U00405,C00405,S00405,2026-09-10,4,72,1,4,12.7,3
U00406,C00406,S00406,2026-09-10,24,545,17,32,99.1,21
U00407,C00407,S00407,2026-09-10,30,720,24,46,235.8,28
U00408,C00408,S00408,2026-09-10,41,995,40,79,692.4,43
U00409,C00409,S00409,2026-09-10,6,115,2,7,17.4,5
U00410,C00410,S00410,2026-09-10,19,380,12,23,64.1,15
U00411,C00411,S00411,2026-09-10,22,465,15,29,83.7,19
U00412,C00412,S00412,2026-09-10,28,675,22,42,158.9,26
U00413,C00413,S00413,2026-09-10,8,155,4,9,26.3,6
U00414,C00414,S00414,2026-09-10,34,825,29,57,323.5,32
U00415,C00415,S00415,2026-09-10,5,86,2,5,15.7,4
U00416,C00416,S00416,2026-09-10,25,565,18,34,108.9,22
U00417,C00417,S00417,2026-09-10,31,735,25,48,241.5,29
U00418,C00418,S00418,2026-09-10,40,980,39,76,669.8,42
U00419,C00419,S00419,2026-09-10,7,125,3,8,20.5,5
U00420,C00420,S00420,2026-09-10,18,350,10,21,57.4,14
U00421,C00421,S00421,2026-09-10,20,420,13,25,73.1,17
U00422,C00422,S00422,2026-09-10,27,645,21,39,137.5,24
U00423,C00423,S00423,2026-09-10,10,195,6,14,41.8,9
U00424,C00424,S00424,2026-09-10,33,810,28,53,302.4,31
U00425,C00425,S00425,2026-09-10,4,68,1,4,11.3,3
U00426,C00426,S00426,2026-09-10,24,530,17,31,96.5,21
U00427,C00427,S00427,2026-09-10,30,710,24,46,224.1,28
U00428,C00428,S00428,2026-09-10,42,1015,41,80,716.2,44
U00429,C00429,S00429,2026-09-10,6,110,2,7,17.0,5
U00430,C00430,S00430,2026-09-10,19,385,12,23,65.6,16
U00431,C00431,S00431,2026-09-10,21,450,14,27,79.8,18
U00432,C00432,S00432,2026-09-10,28,665,22,41,154.2,26
U00433,C00433,S00433,2026-09-10,9,180,5,13,38.6,8
U00434,C00434,S00434,2026-09-10,35,840,30,59,341.9,33
U00435,C00435,S00435,2026-09-10,5,90,2,6,16.5,4
U00436,C00436,S00436,2026-09-10,23,515,16,30,92.2,20
