subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,auto_renew,discount_pct
S00036,C00036,P002,2023-09-09,,Active,Yes,0
S00037,C00037,P006,2023-10-19,2024-04-11,Churned,No,5
S00038,C00038,P003,2023-11-03,,Active,Yes,10
S00039,C00039,P001,2023-12-14,,Active,Yes,0
S00040,C00040,P004,2024-01-25,,Active,Yes,5
S00041,C00041,P002,2024-02-08,2024-09-16,Churned,No,10
S00042,C00042,P006,2024-03-17,,Active,Yes,0
S00043,C00043,P005,2024-04-02,,Active,Yes,5
S00044,C00044,P007,2024-05-21,,Active,Yes,10
S00045,C00045,P001,2024-06-11,2025-01-05,Churned,No,0
S00046,C00046,P003,2024-07-19,,Active,Yes,5
S00047,C00047,P002,2024-08-13,,Active,Yes,0
S00048,C00048,P006,2024-09-06,,Active,Yes,10
S00049,C00049,P005,2024-10-28,2025-05-19,Churned,No,5
S00050,C00050,P008,2024-11-14,,Active,Yes,0
S00051,C00051,P003,2024-12-06,,Active,Yes,5
S00052,C00052,P001,2025-01-17,,Active,No,10
S00053,C00053,P002,2025-02-09,2025-07-18,Churned,No,0
S00054,C00054,P007,2025-03-20,,Active,Yes,5
S00055,C00055,P006,2025-04-12,,Active,Yes,10
S00056,C00056,P005,2023-02-07,,Active,Yes,0
S00057,C00057,P001,2023-03-19,2023-11-25,Churned,No,5
S00058,C00058,P003,2023-04-14,,Active,Yes,0
S00059,C00059,P006,2023-05-27,,Active,Yes,10
S00060,C00060,P002,2023-06-18,,Active,Yes,5
S00061,C00061,P007,2023-07-09,2024-02-22,Churned,No,0
S00062,C00062,P005,2023-08-24,,Active,Yes,5
S00063,C00063,P003,2023-09-16,,Active,Yes,10
S00064,C00064,P001,2023-10-07,2024-03-12,Churned,No,0
S00065,C00065,P006,2023-11-21,,Active,Yes,5
S00066,C00066,P002,2023-12-13,,Active,Yes,0
S00067,C00067,P008,2024-01-29,,Active,Yes,10
S00068,C00068,P005,2024-02-12,2024-10-03,Churned,No,5
S00069,C00069,P003,2024-03-23,,Active,Yes,0
S00070,C00070,P007,2024-04-15,,Active,Yes,5
S00071,C00071,P001,2024-05-28,2025-02-13,Churned,No,10
S00072,C00072,P006,2024-06-17,,Active,Yes,0
S00073,C00073,P002,2024-07-24,,Active,Yes,5
S00074,C00074,P005,2024-08-18,,Active,Yes,10
S00075,C00075,P003,2024-09-27,2025-04-08,Churned,No,0
S00076,C00076,P007,2024-10-09,,Active,Yes,5
S00077,C00077,P001,2024-11-11,,Active,Yes,0
S00078,C00078,P006,2024-12-15,,Active,Yes,10
S00079,C00079,P002,2025-01-21,2025-06-17,Churned,No,5
S00080,C00080,P005,2025-02-18,,Active,Yes,0
S00081,C00081,P003,2025-03-08,,Active,Yes,5
S00082,C00082,P008,2025-04-14,,Active,Yes,10
S00083,C00083,P001,2023-02-11,2023-09-20,Churned,No,0
S00084,C00084,P006,2023-03-28,,Active,Yes,5
S00085,C00085,P002,2023-04-17,,Active,Yes,0
S00086,C00086,P007,2023-05-22,,Active,Yes,10
S00087,C00087,P005,2023-06-13,2024-01-26,Churned,No,5
S00088,C00088,P003,2023-07-18,,Active,Yes,0
S00089,C00089,P001,2023-08-29,,Active,Yes,5
S00090,C00090,P006,2023-09-23,,Active,Yes,10
S00091,C00091,P002,2023-10-12,2024-05-08,Churned,No,0
S00092,C00092,P005,2023-11-08,,Active,Yes,5
S00093,C00093,P003,2023-12-19,,Active,Yes,0
S00094,C00094,P007,2024-01-14,,Active,Yes,10
S00095,C00095,P001,2024-02-25,2024-08-30,Churned,No,5
S00096,C00096,P006,2024-03-18,,Active,Yes,0
S00097,C00097,P002,2024-04-24,,Active,Yes,5
S00098,C00098,P005,2024-05-16,,Active,Yes,10
S00099,C00099,P003,2024-06-27,2025-01-21,Churned,No,0
S00100,C00100,P008,2024-07-14,,Active,Yes,5
S00101,C00101,P001,2024-08-09,,Active,Yes,0
S00102,C00102,P006,2024-09-22,,Active,Yes,10
S00103,C00103,P002,2024-10-17,2025-05-04,Churned,No,5
S00104,C00104,P005,2024-11-25,,Active,Yes,0
S00105,C00105,P003,2024-12-11,,Active,Yes,5
S00106,C00106,P007,2025-01-06,,Active,Yes,10
S00107,C00107,P001,2025-02-23,2025-07-29,Churned,No,0
S00108,C00108,P006,2025-03-15,,Active,Yes,5
S00109,C00109,P002,2025-04-19,,Active,Yes,0
S00110,C00110,P005,2023-02-16,,Active,Yes,10
S00111,C00111,P003,2023-03-25,2023-12-02,Churned,No,5
S00112,C00112,P007,2023-04-09,,Active,Yes,0
S00113,C00113,P001,2023-05-19,,Active,Yes,5
S00114,C00114,P006,2023-06-27,,Active,Yes,10
S00115,C00115,P002,2023-07-15,2024-02-28,Churned,No,0
S00116,C00116,P005,2023-08-08,,Active,Yes,5
S00117,C00117,P003,2023-09-21,,Active,Yes,0
S00118,C00118,P008,2023-10-16,,Active,Yes,10
S00119,C00119,P001,2023-11-29,2024-06-21,Churned,No,5
S00120,C00120,P006,2023-12-17,,Active,Yes,0
S00121,C00121,P002,2024-01-09,,Active,Yes,5
S00122,C00122,P005,2024-02-22,,Active,Yes,10
S00123,C00123,P003,2024-03-14,2024-11-09,Churned,No,0
S00124,C00124,P007,2024-04-26,,Active,Yes,5
S00125,C00125,P001,2024-05-13,,Active,Yes,0
S00126,C00126,P006,2024-06-08,,Active,Yes,10
S00127,C00127,P002,2024-07-29,2025-02-19,Churned,No,5
S00128,C00128,P005,2024-08-12,,Active,Yes,0
S00129,C00129,P003,2024-09-24,,Active,Yes,5
S00130,C00130,P008,2024-10-06,,Active,Yes,10
S00131,C00131,P001,2024-11-18,2025-04-15,Churned,No,0
S00132,C00132,P006,2024-12-23,,Active,Yes,5
S00133,C00133,P002,2025-01-12,,Active,Yes,0
S00134,C00134,P007,2025-02-26,,Active,Yes,10
S00135,C00135,P005,2025-03-17,2025-08-24,Churned,No,5
S00136,C00136,P003,2025-04-08,,Active,Yes,0
S00137,C00137,P001,2023-02-21,,Active,Yes,5
S00138,C00138,P006,2023-03-11,,Active,Yes,10
S00139,C00139,P002,2023-04-26,2024-01-13,Churned,No,0
S00140,C00140,P005,2023-05-14,,Active,Yes,5
S00141,C00141,P003,2023-06-22,,Active,Yes,0
S00142,C00142,P007,2023-07-16,,Active,Yes,10
S00143,C00143,P001,2023-08-07,2024-03-21,Churned,No,5
S00144,C00144,P006,2023-09-25,,Active,Yes,0
S00145,C00145,P002,2023-10-18,,Active,Yes,5
S00146,C00146,P005,2023-11-12,,Active,Yes,10
S00147,C00147,P003,2023-12-28,2024-07-06,Churned,No,0
S00148,C00148,P008,2024-01-19,,Active,Yes,5
S00149,C00149,P001,2024-02-11,,Active,Yes,0
S00150,C00150,P006,2024-03-29,,Active,Yes,10
S00151,C00151,P002,2024-04-17,2025-01-09,Churned,No,5
S00152,C00152,P005,2024-05-08,,Active,Yes,0
S00153,C00153,P003,2024-06-19,,Active,Yes,5
S00154,C00154,P007,2024-07-23,,Active,Yes,10
S00155,C00155,P001,2024-08-16,2025-03-27,Churned,No,0
S00156,C00156,P006,2024-09-08,,Active,Yes,5
S00157,C00157,P002,2024-10-21,,Active,Yes,0
S00158,C00158,P005,2024-11-14,,Active,Yes,10
S00159,C00159,P003,2024-12-29,2025-07-12,Churned,No,5
S00160,C00160,P008,2025-01-16,,Active,Yes,0
S00161,C00161,P001,2025-02-08,,Active,Yes,5
S00162,C00162,P006,2025-03-22,,Active,Yes,10
S00163,C00163,P002,2025-04-11,2025-09-18,Churned,No,0
S00164,C00164,P005,2023-02-14,,Active,Yes,5
S00165,C00165,P003,2023-03-31,,Active,Yes,0
S00166,C00166,P007,2023-04-18,,Active,Yes,10
S00167,C00167,P001,2023-05-26,2024-02-14,Churned,No,5
S00168,C00168,P006,2023-06-15,,Active,Yes,0
S00169,C00169,P002,2023-07-27,,Active,Yes,5
S00170,C00170,P005,2023-08-19,,Active,Yes,10
S00171,C00171,P003,2023-09-11,2024-05-17,Churned,No,0
S00172,C00172,P008,2023-10-23,,Active,Yes,5
S00173,C00173,P001,2023-11-16,,Active,Yes,0
S00174,C00174,P006,2023-12-09,,Active,Yes,10
S00175,C00175,P002,2024-01-27,2024-09-04,Churned,No,5
S00176,C00176,P005,2024-02-18,,Active,Yes,0
S00177,C00177,P003,2024-03-06,,Active,Yes,5
S00178,C00178,P007,2024-04-20,,Active,Yes,10
S00179,C00179,P001,2024-05-15,2025-01-28,Churned,No,0
S00180,C00180,P006,2024-06-29,,Active,Yes,5
S00181,C00181,P002,2024-07-17,,Active,Yes,0
S00182,C00182,P005,2024-08-23,,Active,Yes,10
S00183,C00183,P003,2024-09-14,2025-04-21,Churned,No,5
S00184,C00184,P008,2024-10-28,,Active,Yes,0
S00185,C00185,P001,2024-11-19,,Active,Yes,5
S00186,C00186,P006,2024-12-13,,Active,Yes,10
S00187,C00187,P002,2025-01-29,2025-07-06,Churned,No,0
S00188,C00188,P005,2025-02-17,,Active,Yes,5
S00189,C00189,P003,2025-03-24,,Active,Yes,0
S00190,C00190,P007,2025-04-16,,Active,Yes,10
S00191,C00191,P001,2023-02-08,2023-10-29,Churned,No,5
S00192,C00192,P006,2023-03-27,,Active,Yes,0
S00193,C00193,P002,2023-04-15,,Active,Yes,5
S00194,C00194,P005,2023-05-23,,Active,Yes,10
S00195,C00195,P003,2023-06-17,2024-01-31,Churned,No,0
S00196,C00196,P008,2023-07-22,,Active,Yes,5
S00197,C00197,P001,2023-08-13,,Active,Yes,0
S00198,C00198,P006,2023-09-28,,Active,Yes,10
S00199,C00199,P002,2023-10-16,2024-06-08,Churned,No,5
S00200,C00200,P005,2023-11-24,,Active,Yes,0
S00201,C00201,P003,2023-12-18,,Active,Yes,5
S00202,C00202,P007,2024-01-15,,Active,Yes,10
S00203,C00203,P001,2024-02-27,2024-09-22,Churned,No,0
S00204,C00204,P006,2024-03-21,,Active,Yes,5
S00205,C00205,P002,2024-04-13,,Active,Yes,0
S00206,C00206,P005,2024-05-29,,Active,Yes,10
S00207,C00207,P003,2024-06-18,2025-02-05,Churned,No,5
S00208,C00208,P008,2024-07-11,,Active,Yes,0
S00209,C00209,P001,2024-08-26,,Active,Yes,5
S00210,C00210,P006,2024-09-17,,Active,Yes,10
S00211,C00211,P002,2024-10-09,2025-05-14,Churned,No,0
S00212,C00212,P005,2024-11-22,,Active,Yes,5
S00213,C00213,P003,2024-12-16,,Active,Yes,0
S00214,C00214,P007,2025-01-24,,Active,Yes,10
S00215,C00215,P001,2025-02-12,2025-08-31,Churned,No,5
S00216,C00216,P006,2025-03-19,,Active,Yes,0
S00217,C00217,P002,2025-04-07,,Active,Yes,5
S00218,C00218,P005,2023-02-23,,Active,Yes,10
S00219,C00219,P003,2023-03-17,2023-12-29,Churned,No,0
S00220,C00220,P008,2023-04-29,,Active,Yes,5
S00221,C00221,P001,2023-05-11,,Active,Yes,0
S00222,C00222,P006,2023-06-24,,Active,Yes,10
S00223,C00223,P002,2023-07-14,2024-02-20,Churned,No,5
S00224,C00224,P005,2023-08-27,,Active,Yes,0
S00225,C00225,P003,2023-09-19,,Active,Yes,5
S00226,C00226,P007,2023-10-25,,Active,Yes,10
S00227,C00227,P001,2023-11-17,2024-07-18,Churned,No,0
S00228,C00228,P006,2023-12-12,,Active,Yes,5
S00229,C00229,P002,2024-01-31,,Active,Yes,0
S00230,C00230,P005,2024-02-16,,Active,Yes,10
S00231,C00231,P003,2024-03-25,2024-12-19,Churned,No,5
S00232,C00232,P008,2024-04-18,,Active,Yes,0
S00233,C00233,P001,2024-05-27,,Active,Yes,5
S00234,C00234,P006,2024-06-13,,Active,Yes,10
S00235,C00235,P002,2024-07-28,2025-02-28,Churned,No,0
S00236,C00236,P005,2024-08-21,,Active,Yes,5
S00237,C00237,P003,2024-09-09,,Active,Yes,0
S00238,C00238,P007,2024-10-24,,Active,Yes,10
S00239,C00239,P001,2024-11-15,2025-06-21,Churned,No,5
S00240,C00240,P006,2024-12-20,,Active,Yes,0
S00241,C00241,P002,2025-01-18,,Active,Yes,5
S00242,C00242,P005,2025-02-26,,Active,Yes,10
S00243,C00243,P003,2025-03-14,2025-09-12,Churned,No,0
S00244,C00244,P008,2025-04-23,,Active,Yes,5
S00245,C00245,P001,2023-02-17,,Active,Yes,0
S00246,C00246,P006,2023-03-09,,Active,Yes,10
S00247,C00247,P002,2023-04-24,2024-01-22,Churned,No,5
S00248,C00248,P005,2023-05-16,,Active,Yes,0
S00249,C00249,P003,2023-06-29,,Active,Yes,5
S00250,C00250,P007,2023-07-21,,Active,Yes,10
S00251,C00251,P001,2023-08-14,2024-04-28,Churned,No,0
S00252,C00252,P006,2023-09-18,,Active,Yes,5
S00253,C00253,P002,2023-10-27,,Active,Yes,0
S00254,C00254,P005,2023-11-13,,Active,Yes,10
S00255,C00255,P003,2023-12-22,2024-08-16,Churned,No,5
S00256,C00256,P008,2024-01-11,,Active,Yes,0
S00257,C00257,P001,2024-02-19,,Active,Yes,5
S00258,C00258,P006,2024-03-28,,Active,Yes,10
S00259,C00259,P002,2024-04-14,2025-01-16,Churned,No,0
S00260,C00260,P005,2024-05-31,,Active,Yes,5
S00261,C00261,P003,2024-06-22,,Active,Yes,0
S00262,C00262,P007,2024-07-17,,Active,Yes,10
S00263,C00263,P001,2024-08-29,2025-03-11,Churned,No,5
S00264,C00264,P006,2024-09-13,,Active,Yes,0
S00265,C00265,P002,2024-10-26,,Active,Yes,5
S00266,C00266,P005,2024-11-18,,Active,Yes,10
S00267,C00267,P003,2024-12-07,2025-07-24,Churned,No,0
S00268,C00268,P008,2025-01-29,,Active,Yes,5
S00269,C00269,P001,2025-02-15,,Active,Yes,0
S00270,C00270,P006,2025-03-27,,Active,Yes,10
S00271,C00271,P002,2025-04-18,2025-09-29,Churned,No,5
S00272,C00272,P005,2023-02-12,,Active,Yes,0
S00273,C00273,P003,2023-03-26,,Active,Yes,5
S00274,C00274,P007,2023-04-19,,Active,Yes,10
S00275,C00275,P001,2023-05-28,2024-02-09,Churned,No,0
S00276,C00276,P006,2023-06-16,,Active,Yes,5
S00277,C00277,P002,2023-07-25,,Active,Yes,0
S00278,C00278,P005,2023-08-17,,Active,Yes,10
S00279,C00279,P003,2023-09-29,2024-06-25,Churned,No,5
S00280,C00280,P008,2023-10-21,,Active,Yes,0
S00281,C00281,P001,2023-11-09,,Active,Yes,5
S00282,C00282,P006,2023-12-24,,Active,Yes,10
S00283,C00283,P002,2024-01-17,2024-08-27,Churned,No,0
S00284,C00284,P005,2024-02-23,,Active,Yes,5
S00285,C00285,P003,2024-03-19,,Active,Yes,0
S00286,C00286,P007,2024-04-30,,Active,Yes,10
S00287,C00287,P001,2024-05-21,2025-01-30,Churned,No,5
S00288,C00288,P006,2024-06-09,,Active,Yes,0
S00289,C00289,P002,2024-07-22,,Active,Yes,5
S00290,C00290,P005,2024-08-15,,Active,Yes,10
S00291,C00291,P003,2024-09-27,2025-05-23,Churned,No,0
S00292,C00292,P008,2024-10-18,,Active,Yes,5
S00293,C00293,P001,2024-11-26,,Active,Yes,0
S00294,C00294,P006,2024-12-14,,Active,Yes,10
S00295,C00295,P002,2025-01-27,2025-07-31,Churned,No,5
S00296,C00296,P005,2025-02-11,,Active,Yes,0
S00297,C00297,P003,2025-03-29,,Active,Yes,5
S00298,C00298,P007,2025-04-13,,Active,Yes,10
S00299,C00299,P001,2023-02-25,2023-11-16,Churned,No,0
S00300,C00300,P006,2023-03-15,,Active,Yes,5
S00301,C00301,P002,2023-04-28,,Active,Yes,0
S00302,C00302,P005,2023-05-17,,Active,Yes,10
S00303,C00303,P003,2023-06-21,2024-03-28,Churned,No,5
S00304,C00304,P008,2023-07-13,,Active,Yes,0
S00305,C00305,P001,2023-08-24,,Active,Yes,5
S00306,C00306,P006,2023-09-16,,Active,Yes,10
S00307,C00307,P002,2023-10-31,2024-07-11,Churned,No,0
S00308,C00308,P005,2023-11-19,,Active,Yes,5
S00309,C00309,P003,2023-12-27,,Active,Yes,0
S00310,C00310,P007,2024-01-23,,Active,Yes,10
S00311,C00311,P001,2024-02-14,2024-10-29,Churned,No,5
S00312,C00312,P006,2024-03-30,,Active,Yes,0
S00313,C00313,P002,2024-04-22,,Active,Yes,5
S00314,C00314,P005,2024-05-18,,Active,Yes,10
S00315,C00315,P003,2024-06-26,2025-02-21,Churned,No,0
S00316,C00316,P008,2024-07-19,,Active,Yes,5
S00317,C00317,P001,2024-08-11,,Active,Yes,0
S00318,C00318,P006,2024-09-25,,Active,Yes,10
S00319,C00319,P002,2024-10-16,2025-06-29,Churned,No,5
S00320,C00320,P005,2024-11-28,,Active,Yes,0
S00321,C00321,P003,2024-12-18,,Active,Yes,5
S00322,C00322,P007,2025-01-09,,Active,Yes,10
S00323,C00323,P001,2025-02-24,2025-08-13,Churned,No,0
S00324,C00324,P006,2025-03-16,,Active,Yes,5
S00325,C00325,P002,2025-04-27,,Active,Yes,10
S00326,C00326,P005,2023-02-18,,Active,Yes,0
S00327,C00327,P003,2023-03-29,,Active,Yes,5
S00328,C00328,P008,2023-04-16,2024-01-29,Churned,No,10
S00329,C00329,P001,2023-05-24,,Active,Yes,0
S00330,C00330,P006,2023-06-12,,Active,Yes,5
S00331,C00331,P002,2023-07-27,,Active,Yes,0
S00332,C00332,P005,2023-08-09,2024-05-14,Churned,No,10
S00333,C00333,P003,2023-09-22,,Active,Yes,5
S00334,C00334,P007,2023-10-15,,Active,Yes,0
S00335,C00335,P001,2023-11-23,,Active,Yes,5
S00336,C00336,P006,2023-12-11,2024-08-04,Churned,No,10
S00337,C00337,P002,2024-01-28,,Active,Yes,0
S00338,C00338,P005,2024-02-16,,Active,Yes,5
S00339,C00339,P003,2024-03-27,,Active,Yes,10
S00340,C00340,P008,2024-04-14,2025-01-11,Churned,No,0
S00341,C00341,P001,2024-05-29,,Active,Yes,5
S00342,C00342,P006,2024-06-17,,Active,Yes,0
S00343,C00343,P002,2024-07-26,,Active,Yes,10
S00344,C00344,P005,2024-08-22,2025-03-18,Churned,No,5
S00345,C00345,P003,2024-09-15,,Active,Yes,0
S00346,C00346,P007,2024-10-28,,Active,Yes,5
S00347,C00347,P001,2024-11-13,,Active,Yes,10
S00348,C00348,P006,2024-12-25,2025-07-09,Churned,No,0
S00349,C00349,P002,2025-01-19,,Active,Yes,5
S00350,C00350,P005,2025-02-27,,Active,Yes,0
S00351,C00351,P003,2025-03-12,,Active,Yes,10
S00352,C00352,P008,2025-04-21,2025-09-15,Churned,No,5
S00353,C00353,P001,2023-02-09,,Active,Yes,0
S00354,C00354,P006,2023-03-23,,Active,Yes,5
S00355,C00355,P002,2023-04-11,,Active,Yes,10
S00356,C00356,P005,2023-05-26,2024-02-17,Churned,No,0
S00357,C00357,P003,2023-06-18,,Active,Yes,5
S00358,C00358,P007,2023-07-31,,Active,Yes,0
S00359,C00359,P001,2023-08-22,,Active,Yes,10
S00360,C00360,P006,2023-09-13,2024-06-07,Churned,No,5
S00361,C00361,P002,2023-10-26,,Active,Yes,0
S00362,C00362,P005,2023-11-15,,Active,Yes,5
S00363,C00363,P003,2023-12-29,,Active,Yes,10
S00364,C00364,P008,2024-01-16,2024-09-19,Churned,No,0
S00365,C00365,P001,2024-02-28,,Active,Yes,5
S00366,C00366,P006,2024-03-13,,Active,Yes,0
S00367,C00367,P002,2024-04-25,,Active,Yes,10
S00368,C00368,P005,2024-05-20,2025-01-25,Churned,No,5
S00369,C00369,P003,2024-06-14,,Active,Yes,0
S00370,C00370,P007,2024-07-29,,Active,Yes,5
S00371,C00371,P001,2024-08-18,,Active,Yes,10
S00372,C00372,P006,2024-09-30,2025-05-11,Churned,No,0
S00373,C00373,P002,2024-10-19,,Active,Yes,5
S00374,C00374,P005,2024-11-27,,Active,Yes,0
S00375,C00375,P003,2024-12-12,,Active,Yes,10
S00376,C00376,P008,2025-01-31,2025-08-07,Churned,No,5
S00377,C00377,P001,2025-02-17,,Active,Yes,0
S00378,C00378,P006,2025-03-28,,Active,Yes,5
S00379,C00379,P002,2025-04-15,,Active,Yes,10
S00380,C00380,P005,2023-02-27,2023-11-29,Churned,No,0
S00381,C00381,P003,2023-03-12,,Active,Yes,5
S00382,C00382,P007,2023-04-27,,Active,Yes,0
S00383,C00383,P001,2023-05-15,,Active,Yes,10
S00384,C00384,P006,2023-06-23,2024-03-19,Churned,No,5
S00385,C00385,P002,2023-07-17,,Active,Yes,0
S00386,C00386,P005,2023-08-28,,Active,Yes,5
S00387,C00387,P003,2023-09-14,,Active,Yes,10
S00388,C00388,P008,2023-10-22,2024-07-27,Churned,No,0
S00389,C00389,P001,2023-11-11,,Active,Yes,5
S00390,C00390,P006,2023-12-24,,Active,Yes,0
S00391,C00391,P002,2024-01-18,,Active,Yes,10
S00392,C00392,P005,2024-02-29,2024-10-15,Churned,No,5
S00393,C00393,P003,2024-03-16,,Active,Yes,0
S00394,C00394,P007,2024-04-29,,Active,Yes,5
S00395,C00395,P001,2024-05-17,,Active,Yes,10
S00396,C00396,P006,2024-06-28,2025-02-09,Churned,No,0
S00397,C00397,P002,2024-07-12,,Active,Yes,5
S00398,C00398,P005,2024-08-26,,Active,Yes,0
S00399,C00399,P003,2024-09-18,,Active,Yes,10
S00400,C00400,P008,2024-10-30,2025-06-13,Churned,No,5
S00401,C00401,P001,2024-11-21,,Active,Yes,0
S00402,C00402,P006,2024-12-17,,Active,Yes,5
S00403,C00403,P002,2025-01-26,,Active,Yes,10
S00404,C00404,P005,2025-02-14,2025-08-22,Churned,No,0
S00405,C00405,P003,2025-03-30,,Active,Yes,5
S00406,C00406,P007,2025-04-19,,Active,Yes,0
S00407,C00407,P001,2023-02-13,,Active,Yes,10
S00408,C00408,P006,2023-03-25,2023-12-16,Churned,No,5
S00409,C00409,P002,2023-04-18,,Active,Yes,0
S00410,C00410,P005,2023-05-30,,Active,Yes,5
S00411,C00411,P003,2023-06-20,,Active,Yes,10
S00412,C00412,P008,2023-07-11,2024-04-26,Churned,No,0
S00413,C00413,P001,2023-08-19,,Active,Yes,5
S00414,C00414,P006,2023-09-27,,Active,Yes,0
S00415,C00415,P002,2023-10-14,,Active,Yes,10
S00416,C00416,P005,2023-11-22,2024-08-18,Churned,No,5
S00417,C00417,P003,2023-12-15,,Active,Yes,0
S00418,C00418,P007,2024-01-30,,Active,Yes,5
S00419,C00419,P001,2024-02-21,,Active,Yes,10
S00420,C00420,P006,2024-03-29,2025-01-18,Churned,No,0
S00421,C00421,P002,2024-04-16,,Active,Yes,5
S00422,C00422,P005,2024-05-28,,Active,Yes,0
S00423,C00423,P003,2024-06-19,,Active,Yes,10
S00424,C00424,P008,2024-07-24,2025-03-21,Churned,No,5
S00425,C00425,P001,2024-08-13,,Active,Yes,0
S00426,C00426,P006,2024-09-29,,Active,Yes,5
S00427,C00427,P002,2024-10-18,,Active,Yes,10
S00428,C00428,P005,2024-11-26,2025-06-28,Churned,No,0
S00429,C00429,P003,2024-12-14,,Active,Yes,5
S00430,C00430,P007,2025-01-22,,Active,Yes,0
S00431,C00431,P001,2025-02-16,,Active,Yes,10
S00432,C00432,P006,2025-03-31,2025-09-26,Churned,No,5
S00433,C00433,P002,2025-04-17,,Active,Yes,0
S00434,C00434,P005,2023-02-20,,Active,Yes,5
S00435,C00435,P003,2023-03-18,,Active,Yes,10
S00436,C00436,P008,2023-04-23,2024-01-17,Churned,No,0
S00437,C00437,P001,2023-05-12,,Active,Yes,5
S00438,C00438,P006,2023-06-26,,Active,Yes,0
S00439,C00439,P002,2023-07-20,,Active,Yes,10
S00440,C00440,P005,2023-08-31,2024-05-29,Churned,No,5
S00441,C00441,P003,2023-09-17,,Active,Yes,0
S00442,C00442,P007,2023-10-29,,Active,Yes,5
S00443,C00443,P001,2023-11-18,,Active,Yes,10
S00444,C00444,P006,2023-12-30,2024-09-12,Churned,No,0
S00445,C00445,P002,2024-01-24,,Active,Yes,5
S00446,C00446,P005,2024-02-13,,Active,Yes,0
S00447,C00447,P003,2024-03-22,,Active,Yes,10
S00448,C00448,P008,2024-04-30,2025-01-26,Churned,No,5
S00449,C00449,P001,2024-05-19,,Active,Yes,0
S00450,C00450,P006,2024-06-27,,Active,Yes,5
S00451,C00451,P002,2024-07-15,,Active,Yes,10
S00452,C00452,P005,2024-08-24,2025-04-19,Churned,No,0
S00453,C00453,P003,2024-09-13,,Active,Yes,5
S00454,C00454,P007,2024-10-25,,Active,Yes,0
S00455,C00455,P001,2024-11-16,,Active,Yes,10
S00456,C00456,P006,2024-12-28,2025-07-16,Churned,No,5
S00457,C00457,P002,2025-01-14,,Active,Yes,0
S00458,C00458,P005,2025-02-25,,Active,Yes,5
S00459,C00459,P003,2025-03-17,,Active,Yes,10
S00460,C00460,P008,2025-04-09,2025-09-30,Churned,No,0
S00461,C00461,P001,2023-02-16,,Active,Yes,5
S00462,C00462,P006,2023-03-29,,Active,Yes,0
S00463,C00463,P002,2023-04-17,,Active,Yes,10
S00464,C00464,P005,2023-05-21,2024-02-26,Churned,No,5
S00465,C00465,P003,2023-06-14,,Active,Yes,0
S00466,C00466,P007,2023-07-28,,Active,Yes,5
S00467,C00467,P001,2023-08-20,,Active,Yes,10
S00468,C00468,P006,2023-09-24,2024-07-13,Churned,No,0
S00469,C00469,P002,2023-10-11,,Active,Yes,5
S00470,C00470,P005,2023-11-29,,Active,Yes,0
S00471,C00471,P003,2023-12-19,,Active,Yes,10
S00472,C00472,P008,2024-01-27,2024-10-22,Churned,No,5
S00473,C00473,P001,2024-02-18,,Active,Yes,0
S00474,C00474,P006,2024-03-24,,Active,Yes,5
S00475,C00475,P002,2024-04-12,,Active,Yes,10
